baseDate,movingPath,pathSize,movingCount
20190801,강창학경기장|회수사거리|이도주공아파트|남서광마을|제주국민체육센터|남서광마을|제주시 평생학습센터|성판악휴게소|소암현중화기념관|성판악휴게소|동미빌딩|아랑조을거리 공영주차장|7-1코스|칠십리공원_A|서귀포시 구 버스터미널|천지연폭포|서귀포여자고등학교(북)|월드컵경기장 대도로변 입구 매표소,18,1
20190801,걸매생태공원|천지연폭포|칠십리공원_A,3,1
20190801,돈내코|천지연폭포|자치경찰단 서귀포지역경찰대|현대산부인과|동미빌딩|제주은행(북)|동미빌딩|아랑조을거리 공영주차장|이호테우해변,9,1
20190801,동미빌딩|서귀포매일올레시장|제주은행(북)|청소년문화의집(북)|현대산부인과|제주은행(북)|동미빌딩|제주은행(북)|우리은행 서귀포점 인근 공영주차장|청소년문화의집(북)|동미빌딩|제주은행(북)|자치경찰단 서귀포지역경찰대|천지동자원순환센터|청소년문화의집(북)|동미빌딩|제주은행(북)|서귀포시청 1청사|제주은행(북)|동미빌딩|칠십리 음식 특화거리|자치경찰단 서귀포지역경찰대|솔동산 문화의 거리|걸매생태공원|천지동 아랑조을거리|제주은행(북)|동미빌딩|칠십리 음식 특화거리|현대산부인과|청소년문화의집(북)|제주은행(북)|천지연폭포|현대산부인과|청소년문화의집(북)|서귀포전천후게이트볼장|7-1코스|천지동자원순환센터|제주은행(북)|솔동산 문화의 거리|칠십리 음식 특화거리|동미빌딩|제주은행(북)|아랑조을거리 공영주차장|7-1코스|천지동자원순환센터|제주은행(북)|아랑조을거리 공영주차장|7-1코스|제주은행(북)|아랑조을거리 공영주차장|서귀포전천후게이트볼장|제주월드컵경기장 서귀포버스터미널|중문동(남)|서귀포서부도서관|월드컵경기장 대도로변 입구 매표소,55,1
20190801,북촌돌하르방공원|천지연폭포,2,1
20190801,서귀포성당 뒤 주차장(솔동산로근처)|천지연폭포|서귀포시 자기주도학습지원센터|월드컵경기장 대도로변 입구 매표소|제주월드컵경기장 서귀포버스터미널|서귀포시 자기주도학습지원센터|서귀포 자기주도학습지원센터,7,1
20190801,서귀포시청 1청사|천지연폭포|솔동산 문화의 거리|서귀북초등학교(동)|천지동자원순환센터|천지연 공영주차장|서귀포시 구 버스터미널|서귀북초등학교(동),8,1
20190801,외돌개|천지연폭포|제주월드컵경기장 서귀포버스터미널,3,1
20190801,"용담해안 카페촌거리|롯데마트|절물자연휴양림|하효 쇠소깍 해변|서귀포매일올레시장|제주은행(북)|천지연폭포|칠십리공원_A|외돌개|강창학경기장|서문시장|용연, 용두암|서문가구거리|서문시장|용연, 용두암",15,1
20190801,"우도- 우도봉입구,돌칸이해변|우도-천진항( 마을정보센타)|우도-서빈백사해수욕장|우도-천진항(소라축제장 )|우도-천진항( 마을정보센타)|천지연폭포|칠십리 음식 특화거리|세계조가비박물관|서귀포예술의전당|월드컵경기장 대도로변 입구 매표소|중문관광단지|중문관광단지입구 (남)",12,1
