oid,collection_dt,longitude,latitude,address
461012cf,20210814162942863,126.492986,33.235174,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
4610049d,20210814162942957,126.2445713,33.396642,"협재로, 협재리, 제주시, 제주특별자치도, 63011, 대한민국"
46100283,20210814162943051,126.661809,33.469753,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162943067,126.661809,33.469753,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002d5,20210814162943067,126.483353,33.474286,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461002db,20210814162943098,126.352068,33.355591,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
461006da,20210814162943098,126.202356,33.366194,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
46101334,20210814162943176,126.596786,33.489141,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46101334,20210814162943192,126.596786,33.489141,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162943207,126.492055,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
461002e3,20210814162943504,126.804916,33.375778,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46101895,20210814162943520,126.368814,33.27922,"창고천교, 상창리, 서귀포시, 제주특별자치도, 63537, 대한민국"
46100734,20210814162943614,126.41185,33.250656,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162943692,126.41185,33.250656,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162943817,126.344485,33.30247,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162943879,126.492892,33.235104,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
46100283,20210814162944067,126.661973,33.46976,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162944083,126.661973,33.46976,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002d5,20210814162944098,126.483353,33.474286,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461002db,20210814162944129,126.352207,33.355494,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
461006da,20210814162944129,126.202479,33.366279,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
46101334,20210814162944192,126.596853,33.489099,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162944208,126.492055,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
46101334,20210814162944223,126.596853,33.489099,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46101895,20210814162944505,126.368597,33.27925,"중산간서로, 상창리, 서귀포시, 제주특별자치도, 63537, 대한민국"
461002e3,20210814162944520,126.804811,33.375877,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46100734,20210814162944645,126.411776,33.250596,"신우성송도횟집, 29-9, 중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162944692,126.411776,33.250596,"신우성송도횟집, 29-9, 중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162944833,126.344582,33.302268,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162944895,126.492788,33.235026,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
461002d5,20210814162945114,126.483353,33.474285,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
46100283,20210814162945130,126.662161,33.469766,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162945130,126.662161,33.469766,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002db,20210814162945145,126.352349,33.355401,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
461006da,20210814162945145,126.202582,33.36635,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
46101334,20210814162945223,126.596896,33.489073,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46101334,20210814162945223,126.596896,33.489073,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162945239,126.492055,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
46101895,20210814162945536,126.368401,33.279277,"중산간서로, 상창리, 서귀포시, 제주특별자치도, 63537, 대한민국"
461002e3,20210814162945552,126.804688,33.375984,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46100734,20210814162945645,126.411694,33.250543,"신우성송도횟집, 29-9, 중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162945724,126.411694,33.250543,"신우성송도횟집, 29-9, 중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162945849,126.34471,33.302022,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162945911,126.492704,33.234963,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
461002d5,20210814162946130,126.483353,33.474285,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
46100283,20210814162946161,126.662334,33.469772,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002db,20210814162946161,126.352507,33.355301,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
461006da,20210814162946161,126.20271,33.366439,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
46100283,20210814162946177,126.662334,33.469772,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46101334,20210814162946239,126.596937,33.489048,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46101334,20210814162946239,126.596937,33.489048,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162946255,126.492055,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
461002e3,20210814162946552,126.804573,33.37608,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46101895,20210814162946568,126.368226,33.279302,"중산간서로, 상창리, 서귀포시, 제주특별자치도, 63537, 대한민국"
46100734,20210814162946661,126.411611,33.250495,"신우성송도횟집, 29-9, 중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162946755,126.411611,33.250495,"신우성송도횟집, 29-9, 중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162946865,126.344829,33.3018,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
46101369,20210814162946880,126.344829,33.3018,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162946943,126.492603,33.234886,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
461010b2,20210814162947068,126.6345,33.257066,"하신로, 서귀포시, 제주특별자치도, 63606, 대한민국"
461002d5,20210814162947146,126.483352,33.474284,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
46100283,20210814162947177,126.662514,33.469779,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162947177,126.662514,33.469779,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002db,20210814162947177,126.35265,33.355211,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
461006da,20210814162947193,126.202826,33.366521,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
46101334,20210814162947255,126.596965,33.489031,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46101334,20210814162947271,126.596965,33.489031,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162947287,126.492055,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
461002e3,20210814162947584,126.804456,33.376173,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46100734,20210814162947677,126.411524,33.250455,"신우성송도횟집, 29-9, 중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162947896,126.34495,33.301579,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
46101369,20210814162947896,126.34495,33.301579,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162947927,126.492511,33.234819,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
461002d5,20210814162948162,126.483352,33.474283,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461002db,20210814162948177,126.352795,33.355121,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
46100283,20210814162948193,126.662696,33.469786,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461006da,20210814162948193,126.202941,33.366601,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
46100283,20210814162948209,126.662696,33.469786,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46101334,20210814162948271,126.596997,33.489011,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46101334,20210814162948271,126.596997,33.489011,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162948303,126.492055,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
461002e3,20210814162948584,126.804339,33.376262,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46101078,20210814162948631,180.0000001,90.0000001,
46101895,20210814162948646,126.36782,33.27936,"중산간서로, 상창리, 서귀포시, 제주특별자치도, 63537, 대한민국"
46100734,20210814162948709,126.411435,33.25042,"올레길 8코스(월평-대평 올레), 색달동, 소기왓, 대평리, 서귀포시, 제주특별자치도, 63538, 대한민국"
46101369,20210814162948896,126.345072,33.301358,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
46101369,20210814162948928,126.345072,33.301358,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162948959,126.492417,33.234757,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
461003a2,20210814162949162,126.384118,33.487891,"애월해안로, 하귀2리, 제주시, 제주특별자치도, 63051, 대한민국"
461002d5,20210814162949178,126.483352,33.474283,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461002db,20210814162949209,126.352938,33.355035,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
461006da,20210814162949209,126.203053,33.366679,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
46100283,20210814162949225,126.662898,33.469793,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162949225,126.662898,33.469793,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46101334,20210814162949287,126.597019,33.488998,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
